developer-agreement-contribution,developer-agreement,contribution-purpose,amount,units,entry-date,start-date,end-date
0146/18/FUL,0146/18/FUL-IFSDA,Off Site Play Contribution,12920,,20/12/2019,20/12/2019,
0548/20/FUL,0548/20/FUL-IFSDA,Other,1371.71,,12/02/2020,12/02/2020,
1468/19/FUL,1468/19/FUL-IFSDA,OSSR,16575,,21/11/2019,21/11/2019,
1554/17/OPA,1554/17/OPA-IFSDA,OSSR,24765,,11/03/2020,11/03/2020,
1554/17/OPA,1554/17/OPA-IFSDA,Affordable Housing - Units On Site,,6,11/03/2020,11/03/2020,
1954/18/OPA,1954/18/OPA-IFSDA,Tramway Interpretation,5000,,19/06/2019,19/06/2019,
1954/18/OPA,1954/18/OPA-IFSDA,OSSR,83362.5,,19/06/2019,19/06/2019,
1954/18/OPA ,1954/18/OPA -IFSDA,Affordable Housing - Units On Site,,11,19/06/2019,19/06/2019,
2101/19/FUL,2101/19/FUL-IFSDA,OSSR,15112.5,,26/02/2020,26/02/2020,
2574/16/OPA,2574/16/OPA-IFSDA,Affordable Housing - Units On Site,,3,17/05/2019,17/05/2019,
2873/18/FUL,2873/18/FUL-IFSDA,OSSR,8775,,01/04/2019,01/04/2019,
3138/17/OPA,3138/17/OPA-IFSDA,OSSR,19743.75,,28/08/2019,28/08/2019,
3138/17/OPA,3138/17/OPA-IFSDA,Affordable Housing - Financial Contribution,171794,,28/08/2019,28/08/2019,
3475/17/OPA,3475/17/OPA-IFSDA,Affordable Housing - Units On Site,,63,02/05/2019,02/05/2019,
3475/17/OPA,3475/17/OPA-IFSDA,LEAP,,1,02/05/2019,02/05/2019,
3475/17/OPA,3475/17/OPA-IFSDA,Other - Cirl Bunting ,222579,,02/05/2019,02/05/2019,
3475/17/OPA,3475/17/OPA-IFSDA,Sports Facilities Commuted Sum ,137096.4,,02/05/2019,02/05/2019,
3475/17/OPA,3475/17/OPA-IFSDA,Sports Facilities Contribution  ,181893.6,,02/05/2019,02/05/2019,
3552/18/FUL,3552/18/FUL-IFSDA,OSSR,9750,,16/03/2020,16/03/2020,
3743/18/FUL,3743/18/FUL-IFSDA,OSSR,8287.5,,21/11/2019,21/11/2019,
4302/17/OPA,4302/17/OPA-IFSDA,Affordable Housing - Units On Site,,3,17/12/2019,17/12/2019,
4302/17/OPA,4302/17/OPA-IFSDA,Affordable Housing - Financial Contribution,205701,,17/12/2019,17/12/2019,
4302/17/OPA,4302/17/OPA-IFSDA,OSSR,19318.5,,17/12/2019,17/12/2019,
