developer-agreement-transaction,developer-agreement-contribution,contribution-funding-status,amount,units,entry-date,start-date,end-date,,
1,03/2163/14/O-CON1,secured,122700.5,,11/11/2015,11/11/2015,,,
2,03/2163/14/O-CON2,secured,79345.73,,11/11/2015,11/11/2015,,,
3,04/1129/15/F-CON1,received,103029.56,,18/10/2017,18/10/2017,,,
4,0549/17/OPA-CON1,secured,66073.36,,18/12/2017,18/12/2017,,,
5,0825/18-CON1,received,34712.42,,11/01/2019,11/01/2019,,,
6,1372/16/ful-CON1,received,20222.22,,21/03/2017,21/03/2017,,,
7,2208/16/FUL-CON1,received,176000,,11/12/2017,11/12/2017,,, 
8,2208/16/FUL-CON2,received,120413,,11/12/2017,11/12/2017,,,
9,27_57/1347/14/F-CON1,received,299090.91,,21/06/2016,21/06/2016,31/03/2020,,
10,27_57/1347/14/F-CON2,received,239272.73,,21/06/2016,21/06/2016,31/03/2020,,
11,35/0059/15/F-CON1,received,196373.22,,01/12/2015,01/12/2015,,,
12,41/1915/13/F-CON1,received,32226.74,,08/01/2014,08/01/2014,,,
13,41/1915/13/F-CON2,received,20581.78,,08/01/2014,08/01/2014,,,
14,41/1915/13/F-CON3,received,5869.01,,08/01/2014,08/01/2014,,,
15,4140/16/FUL-CON1,received,19000,,04/07/2013,04/07/2013,,,
16,58/1352/12/F-CON1,received,109600,,04/07/2016,04/07/2016,,,
17,1391/18/FUL-CON1,secured,27388.97,,15/11/2018,15/11/2018,,,
18,1391/18/FUL-CON2,secured,25309.87,,15/11/2018,15/11/2018,,,
19,1884/18/FUL -CON1,secured,13337.58,,16/11/2018,16/11/2018,,,
20,1884/18/FUL-CON2,secured,8518.12,,16/11/2018,16/11/2018,,,
21,0825/18-CON1,received,-38690.5,,11/01/2019,11/01/2019,,,
22,9/49/1020/98/1-CON1,received,-650,,08/01/2014,08/01/2014,,,
23,07/2022/12/F-CON1,received,-9085.42,,17/10/2013,17/10/2013,,,
24,07/2022/12/F-CON2,received,-3534,,17/10/2013,17/10/2013,,,
25,51/1437/14/F-CON1,received,-1466,,21/03/2017,21/03/2017,,,
26,41/1915/13/F-CON1,received,-61102.62,,08/01/2014,08/01/2014,,,
27,53/1706/07/F-CON1,received,-33786,,13/08/2007,13/08/2007,,,
28,14/1744/13/F-CON1,received,-29453.43,,06/05/2014,06/05/2014,,,
29,14/1744/13/F-CON2,received,-20838,,06/05/2014,06/05/2014,,,
30,41/3063/13/F-CON1,received,-7323.07,,13/05/2014,13/05/2014,,,
31,35/0059/15/F-CON1,received,-51893,,01/12/2015,01/12/2015,,,
32,0354/14-CON1,spent,-48436.6,,26/11/2014,26/11/2014,31/03/2020,,
33,27_57/1347/14/F-CON2,spent,-487349.65,,21/06/2016,21/06/2016,31/03/2020,,
34,27/1859/15/F-CON1,received,-40000,,29/11/2016,29/11/2016,,,
35,07/1196/15/F-CON1,received,-31003.3,,17/06/2016,17/06/2016,,,
36,2266/17/FUL-CON1,received,-2488.5,,29/01/2018,29/01/2018,,,
37,0362/16/FUL-CON1,received,-9557.38,,07/12/2016,07/12/2016,31/03/2020,,
38,1372/16/ful-CON1,received,-1011.11,,21/03/2017,21/03/2017,,,
39,2208/16/FUL-CON1,received,-8800,,11/12/2017,11/12/2017,,,
40,2208/16/FUL-CON2,received,-73873.15,,11/12/2017,11/12/2017,,,
41,03/2163/14/O-CON1,secured,-47069.33,,11/11/2015,11/11/2015,,,
42,03/2163/14/O-CON2,secured,-6732.29,,11/11/2015,11/11/2015,,,
43,0549/17/OPA-CON1,secured,-3303.67,,18/12/2017,18/12/2017,,,
44,4140/16/FUL-CON1,received,-950,,04/07/2013,04/07/2013,,,
45,1884/18/FUL -CON1,secured,-666.88,,16/11/2018,16/11/2018,,,
46,1884/18/FUL-CON2,secured,-425.91,,16/11/2018,16/11/2018,,,
47,21/1425/12/F-CON1,received,-88000,,23/11/2012,23/11/2012,,,
