developer-agreement-transaction,developer-agreement-contribution,contribution-funding-status,amount,units,entry-date,start-date,end-date
1, 2092/16/FUL-CON1,received,2000.00,,02/12/2016,02/12/2016,
2,00358/2010-CON1,received,31949.81,,15/01/2013,15/01/2013,
3,00610/2015-CON1,received,170395.56,,17/06/2018,17/06/2018,
4,00014/2014-CON1,received,8300.68,,02/09/2014,02/09/2014,
5,0825/16/F-CON1,received,26194.44,,31/08/2017,31/08/2017,
6,2022/16/OPA-CON1,secured,113865.89,,11/05/2017,11/05/2017,
7,2092/16/FUL-CON1,secured,76593.93,,02/12/2016,02/12/2016,
8,01037/2013-CON1,received,1050.00,,08/02/2016,08/02/2016,
9,01037/2013-CON2,received,-21000.00,,08/02/2016,08/02/2016,
10,01037/2013-CON3,received,-3439.00,,08/02/2016,08/02/2016,
11,01037/2013-CON4,received,-8862.00,,08/02/2016,08/02/2016,
