row-number,field,issue-type,value
1,organisation,default,local-authority-eng:EST
2,organisation,default,local-authority-eng:EST
3,organisation,default,local-authority-eng:EST
4,organisation,default,local-authority-eng:EST
5,organisation,default,local-authority-eng:EST
6,organisation,default,local-authority-eng:EST
7,organisation,default,local-authority-eng:EST
8,organisation,default,local-authority-eng:EST
9,organisation,default,local-authority-eng:EST
10,organisation,default,local-authority-eng:EST
11,organisation,default,local-authority-eng:EST
12,organisation,default,local-authority-eng:EST
13,organisation,default,local-authority-eng:EST
14,organisation,default,local-authority-eng:EST
15,organisation,default,local-authority-eng:EST
16,organisation,default,local-authority-eng:EST
17,organisation,default,local-authority-eng:EST
18,organisation,default,local-authority-eng:EST
19,organisation,default,local-authority-eng:EST
20,organisation,default,local-authority-eng:EST
21,organisation,default,local-authority-eng:EST
22,organisation,default,local-authority-eng:EST
23,organisation,default,local-authority-eng:EST
24,units,integer,7%
24,organisation,default,local-authority-eng:EST
25,organisation,default,local-authority-eng:EST
26,organisation,default,local-authority-eng:EST
27,organisation,default,local-authority-eng:EST
28,units,integer,15%
28,organisation,default,local-authority-eng:EST
29,organisation,default,local-authority-eng:EST
30,organisation,default,local-authority-eng:EST
31,organisation,default,local-authority-eng:EST
32,organisation,default,local-authority-eng:EST
33,organisation,default,local-authority-eng:EST
34,organisation,default,local-authority-eng:EST
35,organisation,default,local-authority-eng:EST
36,organisation,default,local-authority-eng:EST
37,organisation,default,local-authority-eng:EST
38,organisation,default,local-authority-eng:EST
39,organisation,default,local-authority-eng:EST
40,organisation,default,local-authority-eng:EST
41,organisation,default,local-authority-eng:EST
42,organisation,default,local-authority-eng:EST
43,organisation,default,local-authority-eng:EST
44,organisation,default,local-authority-eng:EST
45,organisation,default,local-authority-eng:EST
46,organisation,default,local-authority-eng:EST
47,organisation,default,local-authority-eng:EST
48,organisation,default,local-authority-eng:EST
49,organisation,default,local-authority-eng:EST
50,organisation,default,local-authority-eng:EST
51,organisation,default,local-authority-eng:EST
52,organisation,default,local-authority-eng:EST
53,organisation,default,local-authority-eng:EST
54,organisation,default,local-authority-eng:EST
55,organisation,default,local-authority-eng:EST
56,organisation,default,local-authority-eng:EST
57,organisation,default,local-authority-eng:EST
58,organisation,default,local-authority-eng:EST
59,organisation,default,local-authority-eng:EST
60,organisation,default,local-authority-eng:EST
61,organisation,default,local-authority-eng:EST
62,organisation,default,local-authority-eng:EST
63,organisation,default,local-authority-eng:EST
64,organisation,default,local-authority-eng:EST
65,organisation,default,local-authority-eng:EST
66,organisation,default,local-authority-eng:EST
67,organisation,default,local-authority-eng:EST
68,organisation,default,local-authority-eng:EST
69,organisation,default,local-authority-eng:EST
70,organisation,default,local-authority-eng:EST
71,organisation,default,local-authority-eng:EST
72,organisation,default,local-authority-eng:EST
73,entry-date,date,secured
73,organisation,default,local-authority-eng:EST
73,entry-date,default,2021-03-25
74,organisation,default,local-authority-eng:EST
