developer-agreement-contribution,amount,units,contribution-purpose,developer-agreement,organisation,entry-date,start-date,end-date,slug
20030860ED1,148245.74,,education,20030860V-da,local-authority-eng:NLN,2020-10-29,2007-07-06,,/developer-agreement-contribution/local-authority-eng/NLN/20030860ED1
20030860ED2,148245.74,,education,20030860V-da,local-authority-eng:NLN,2020-10-29,2007-07-06,,/developer-agreement-contribution/local-authority-eng/NLN/20030860ED2
20030860HW,12500,,highways,20030860v-da,local-authority-eng:NLN,2020-10-29,2007-07-06,,/developer-agreement-contribution/local-authority-eng/NLN/20030860HW
20031575OP,39101.24,,open-space-and-leisure,20031575-da,local-authority-eng:NLN,2020-10-29,2006-03-15,,/developer-agreement-contribution/local-authority-eng/NLN/20031575OP
20041114OP,30131.6,,open-space-and-leisure,20041114-da,local-authority-eng:NLN,2020-10-29,2005-12-09,,/developer-agreement-contribution/local-authority-eng/NLN/20041114OP
20050803TC,50000,,other,20050803-da,local-authority-eng:NLN,2020-10-29,2005-11-14,,/developer-agreement-contribution/local-authority-eng/NLN/20050803TC
20050879HW,250,,highways,20050879-da,local-authority-eng:NLN,2020-10-29,2006-02-21,,/developer-agreement-contribution/local-authority-eng/NLN/20050879HW
20060782ED,198720,,education,20060782-da,local-authority-eng:NLN,2020-10-29,2007-01-30,,/developer-agreement-contribution/local-authority-eng/NLN/20060782ED
20071970ED,164077.36,,education,20071970-da,local-authority-eng:NLN,2020-10-29,2008-03-03,,/developer-agreement-contribution/local-authority-eng/NLN/20071970ED
20071970OP,34519,,open-space-and-leisure,20071970-da,local-authority-eng:NLN,2020-10-29,2008-03-03,,/developer-agreement-contribution/local-authority-eng/NLN/20071970OP
20080338ED1,50280,,education,20080338-da,local-authority-eng:NLN,2020-10-29,2011-08-23,,/developer-agreement-contribution/local-authority-eng/NLN/20080338ED1
20080338ED2,37710,,education,20080338-da,local-authority-eng:NLN,2020-10-29,2011-08-23,,/developer-agreement-contribution/local-authority-eng/NLN/20080338ED2
20080338ED3,37710,,education,20080338-da,local-authority-eng:NLN,2020-10-29,2011-03-23,,/developer-agreement-contribution/local-authority-eng/NLN/20080338ED3
20080338OP1,30526.5,,open-space-and-leisure,20080338-da,local-authority-eng:NLN,2020-10-29,2011-08-23,,/developer-agreement-contribution/local-authority-eng/NLN/20080338OP1
20080338OP2,30526.5,,open-space-and-leisure,20080338-da,local-authority-eng:NLN,2020-10-29,2011-08-23,,/developer-agreement-contribution/local-authority-eng/NLN/20080338OP2
20090334HW,24336.04,,highways,20090334-da,local-authority-eng:NLN,2020-10-29,2011-08-08,,/developer-agreement-contribution/local-authority-eng/NLN/20090334HW
20110802AH,17064.8,,affordable-housing,20110802-da,local-authority-eng:NLN,2020-10-29,2012-04-30,,/developer-agreement-contribution/local-authority-eng/NLN/20110802AH
20111110HW,7037,,highways,20111110-da,local-authority-eng:NLN,2020-10-29,2012-03-26,,/developer-agreement-contribution/local-authority-eng/NLN/20111110HW
20111464AH,16119.36,,affordable-housing,20111464-da,local-authority-eng:NLN,2020-10-29,2012-07-30,,/developer-agreement-contribution/local-authority-eng/NLN/20111464AH
20121288HW,300000,,highways,20121288-da,local-authority-eng:NLN,2020-10-29,2013-02-28,,/developer-agreement-contribution/local-authority-eng/NLN/20121288HW
20121303HW,60000,,highways,20121303-da,local-authority-eng:NLN,2020-10-29,2014-08-19,,/developer-agreement-contribution/local-authority-eng/NLN/20121303HW
20130643AH,136400,,affordable-housing,20130643-da,local-authority-eng:NLN,2020-10-29,2014-05-07,,/developer-agreement-contribution/local-authority-eng/NLN/20130643AH
20130734OP,4349.48,,open-space-and-leisure,20130734-da,local-authority-eng:NLN,2020-10-29,2014-11-04,,/developer-agreement-contribution/local-authority-eng/NLN/20130734OP
20131578LEI,16733,,open-space-and-leisure,20131578-da,local-authority-eng:NLN,2020-10-29,2014-06-05,,/developer-agreement-contribution/local-authority-eng/NLN/20131578LEI
20140196AH,,4,affordable-housing,20140196-da,local-authority-eng:NLN,2020-10-29,2014-06-03,,/developer-agreement-contribution/local-authority-eng/NLN/20140196AH
20140196ED,114510,,education,20140196-da,local-authority-eng:NLN,2020-10-29,2014-06-03,2017-10-24,/developer-agreement-contribution/local-authority-eng/NLN/20140196ED
20140196REC,44311.91,,open-space-and-leisure,20140196-da,local-authority-eng:NLN,2020-10-29,2014-06-03,2017-10-24,/developer-agreement-contribution/local-authority-eng/NLN/20140196REC
