developer-agreement-contribution,amount,units,contribution-purpose,developer-agreement,organisation,entry-date,start-date,end-date,slug
06/15/0441/O_EDU,,,education,06/15/0441/O_6.46,local-authority-eng:NFK,2020-07-14,2020-02-25,,/developer-agreement-contribution/local-authority-eng/NFK/06-15-0441-O-EDU
06/15/0441/O_LIB,,,community-facilities,06/15/0441/O_6.46,local-authority-eng:NFK,2020-07-15,2020-02-25,,/developer-agreement-contribution/local-authority-eng/NFK/06-15-0441-O-LIB
06/15/0441/O_TP,100000,,transport-and-travel,06/15/0441/O_6.46,local-authority-eng:NFK,2020-05-12,2020-02-25,,/developer-agreement-contribution/local-authority-eng/NFK/06-15-0441-O-TP
06/18/0149/O_EDU,,,education,06/18/0149/O-6.96a,local-authority-eng:NFK,2020-10-01,2019-10-08,,/developer-agreement-contribution/local-authority-eng/NFK/06-18-0149-O-EDU
06/18/0149/O_LIB,,,community-facilities,06/18/0149/O-6.96a,local-authority-eng:NFK,2020-10-01,2019-10-08,,/developer-agreement-contribution/local-authority-eng/NFK/06-18-0149-O-LIB
16/02231/OM_EDU,807317.33,,education,16/02231/OM-2.199,local-authority-eng:NFK,2020-10-01,2020-01-16,,/developer-agreement-contribution/local-authority-eng/NFK/16-02231-OM-EDU
16/02231/OM_H,,,highways,16/02231/OM-2.199,local-authority-eng:NFK,2020-05-12,2020-01-16,,/developer-agreement-contribution/local-authority-eng/NFK/16-02231-OM-H
16/02231/OM_LIB,15875,,community-facilities,16/02231/OM-2.199,local-authority-eng:NFK,2020-10-01,2020-01-16,,/developer-agreement-contribution/local-authority-eng/NFK/16-02231-OM-LIB
16/02231/OM_MON,,,monitoring-fees,16/02231/OM-2.199,local-authority-eng:NFK,2020-10-01,2020-01-16,,/developer-agreement-contribution/local-authority-eng/NFK/16-02231-OM-MON
16/02231/OM_PT,,,transport-and-travel,16/02231/OM-2.199,local-authority-eng:NFK,2020-05-12,2020-01-16,,/developer-agreement-contribution/local-authority-eng/NFK/16-02231-OM-PT
3PL/2015/0917/O_EDU,,,education,3PL/2015/0917/O_3.147,local-authority-eng:NFK,2020-07-21,2020-01-30,,/developer-agreement-contribution/local-authority-eng/NFK/3PL-2015-0917-O-EDU
3PL/2015/0917/O_GI,,,green-infrastructure,3PL/2015/0917/O_3.147,local-authority-eng:NFK,2020-05-12,2020-01-30,,/developer-agreement-contribution/local-authority-eng/NFK/3PL-2015-0917-O-GI
3PL/2015/0917/O_LIB,,,community-facilities,3PL/2015/0917/O_3.148,local-authority-eng:NFK,2020-07-22,2020-01-30,,/developer-agreement-contribution/local-authority-eng/NFK/3PL-2015-0917-O-LIB
3PL/2015/0917/O_TP,92500,,transport-and-travel,3PL/2015/0917/O_3.147,local-authority-eng:NFK,2020-05-12,2020-01-30,,/developer-agreement-contribution/local-authority-eng/NFK/3PL-2015-0917-O-TP
3PL/2017/0996/O_EDU,,,education,3PL/2017/0996/O_3.76,local-authority-eng:NFK,2020-07-07,2020-03-27,,/developer-agreement-contribution/local-authority-eng/NFK/3PL-2017-0996-O-EDU
3PL/2017/0996/O_GI,500000,,green-infrastructure,3PL/2017/0996/O_3.79,local-authority-eng:NFK,2020-05-12,2020-03-27,,/developer-agreement-contribution/local-authority-eng/NFK/3PL-2017-0996-O-GI
3PL/2017/0996/O_LIB,,,community-facilities,3PL/2017/0996/O_3.77,local-authority-eng:NFK,2020-07-08,2020-03-27,,/developer-agreement-contribution/local-authority-eng/NFK/3PL-2017-0996-O-LIB
3PL/2017/0996/O_MON,,,monitoring-fees,3PL/2017/0996/O_3.79,local-authority-eng:NFK,2020-07-10,2020-03-27,,/developer-agreement-contribution/local-authority-eng/NFK/3PL-2017-0996-O-MON
3PL/2017/0996/O_PT,2000000,,transport-and-travel,3PL/2017/0996/O_3.79,local-authority-eng:NFK,2020-05-12,2020-03-27,,/developer-agreement-contribution/local-authority-eng/NFK/3PL-2017-0996-O-PT
3PL/2017/1354/F_LIB,,,community-facilities,3PL/2017/1354/F_3.186,local-authority-eng:NFK,2020-07-13,2019-09-12,,/developer-agreement-contribution/local-authority-eng/NFK/3PL-2017-1354-F-LIB
3PL/2017/1487/O_EDU,,,education,3PL/2017/1487/O_3.199,local-authority-eng:NFK,2020-07-19,2019-08-29,,/developer-agreement-contribution/local-authority-eng/NFK/3PL-2017-1487-O-EDU
3PL/2017/1487/O_LIB,,,community-facilities,3PL/2017/1487/O_3.199,local-authority-eng:NFK,2020-07-20,2019-08-29,,/developer-agreement-contribution/local-authority-eng/NFK/3PL-2017-1487-O-LIB
3PL/2017/1574/O_EDU,,,education,3PL/2017/1574/O_3.204,local-authority-eng:NFK,2020-07-16,2019-09-10,,/developer-agreement-contribution/local-authority-eng/NFK/3PL-2017-1574-O-EDU
3PL/2017/1574/O_GI,12760,,green-infrastructure,3PL/2017/1574/O_3.204,local-authority-eng:NFK,2020-05-12,2019-09-10,,/developer-agreement-contribution/local-authority-eng/NFK/3PL-2017-1574-O-GI
3PL/2017/1574/O_LIB,,,community-facilities,3PL/2017/1574/O_3.204,local-authority-eng:NFK,2020-07-17,2019-09-10,,/developer-agreement-contribution/local-authority-eng/NFK/3PL-2017-1574-O-LIB
3PL/2018/0852/F_EDU,,,education,3PL/2018/0852/F-3.211,local-authority-eng:NFK,2020-10-01,2019-06-26,,/developer-agreement-contribution/local-authority-eng/NFK/3PL-2018-0852-F-EDU
3PL/2018/0852/F_H,,,highways,3PL/2018/0852/F-3.211,local-authority-eng:NFK,2020-10-01,2019-06-26,,/developer-agreement-contribution/local-authority-eng/NFK/3PL-2018-0852-F-H
3PL/2018/0852/F_LIB,,,community-facilities,3PL/2018/0852/F-3.211,local-authority-eng:NFK,2020-10-01,2019-06-26,,/developer-agreement-contribution/local-authority-eng/NFK/3PL-2018-0852-F-LIB
3PL/2018/0952/O_EDU,,,education,3PL/2018/0952/O-3.143,local-authority-eng:NFK,2020-10-01,2019-12-10,,/developer-agreement-contribution/local-authority-eng/NFK/3PL-2018-0952-O-EDU
3PL/2018/0952/O_GI,52000,,green-infrastructure,3PL/2018/0952/O-3.143,local-authority-eng:NFK,2020-05-12,2019-12-10,,/developer-agreement-contribution/local-authority-eng/NFK/3PL-2018-0952-O-GI
3PL/2018/0952/O_GI,52000,,green-infrastructure,3PL/2018/0952/O-3.143,local-authority-eng:NFK,2020-05-12,2019-12-10,,/developer-agreement-contribution/local-authority-eng/NFK/3PL-2018-0952-O-GI
3PL/2018/0952/O_LIB,,,community-facilities,3PL/2018/0952/O-3.143,local-authority-eng:NFK,2020-10-01,2019-12-10,,/developer-agreement-contribution/local-authority-eng/NFK/3PL-2018-0952-O-LIB
3PL/2018/0952/O_TP,95400,,transport-and-travel,3PL/2018/0952/O-3.143,local-authority-eng:NFK,2020-05-12,2019-12-10,,/developer-agreement-contribution/local-authority-eng/NFK/3PL-2018-0952-O-TP
