developer-agreement-contribution,amount,units,contribution-purpose,developer-agreement,organisation,entry-date,start-date,end-date,slug
18/01395/FUL_CIL_59,46375.04,,community-infrastructure-levy,18/01395/FUL_CIL,local-authority-eng:GLO,2020-04-06,2019-08-08,,/developer-agreement-contribution/local-authority-eng/GLO/18-01395-FUL-CIL-59
18/01395/FUL_CIL_59A,8695.32,,neighbourhood-community-infrastructure-levy,18/01395/FUL_CIL,local-authority-eng:GLO,2020-04-06,2019-08-08,,/developer-agreement-contribution/local-authority-eng/GLO/18-01395-FUL-CIL-59A
18/01395/FUL_CIL_61,2898.44,,cil-administration-costs,18/01395/FUL_CIL,local-authority-eng:GLO,2020-04-06,2019-08-08,,/developer-agreement-contribution/local-authority-eng/GLO/18-01395-FUL-CIL-61
18/00306/FUL_CIL_59,380664,,community-infrastructure-levy,18/00306/FUL_CIL,local-authority-eng:GLO,2020-04-06,2020-04-27,,/developer-agreement-contribution/local-authority-eng/GLO/18-00306-FUL-CIL-59
18/00306/FUL_CIL_59A,71374.5,,neighbourhood-community-infrastructure-levy,18/00306/FUL_CIL,local-authority-eng:GLO,2020-04-06,2020-04-27,,/developer-agreement-contribution/local-authority-eng/GLO/18-00306-FUL-CIL-59A
18/00306/FUL_CIL_61,23791.5,,cil-administration-costs,18/00306/FUL_CIL,local-authority-eng:GLO,2020-04-06,2020-04-27,,/developer-agreement-contribution/local-authority-eng/GLO/18-00306-FUL-CIL-61
18/00306/FUL_S106_OSL,2193463.04,,open-space-and-leisure,18/00306/FUL_S106,local-authority-eng:GLO,2020-04-06,2019-09-26,,/developer-agreement-contribution/local-authority-eng/GLO/18-00306-FUL-S106-OSL
18/00306/FUL_S106_AH,,20,affordable-housing,18/00306/FUL_S106,local-authority-eng:GLO,2020-04-06,2019-09-26,,/developer-agreement-contribution/local-authority-eng/GLO/18-00306-FUL-S106-AH
18/01127/FUL_DOV_OTH,156409.32,,other,18/01127/FUL_DOV,local-authority-eng:GLO,2020-04-06,2019-06-14,,/developer-agreement-contribution/local-authority-eng/GLO/18-01127-FUL-DOV-OTH
17/01199/OUT_S106_AH,,16,affordable-housing,17/01199/OUT_S106,local-authority-eng:GLO,2020-04-06,2019-06-14,,/developer-agreement-contribution/local-authority-eng/GLO/17-01199-OUT-S106-AH
17/01199/OUT_S106_OSL,50000,,open-space-and-leisure,17/01199/OUT_S106,local-authority-eng:GLO,2020-04-06,2019-09-05,,/developer-agreement-contribution/local-authority-eng/GLO/17-01199-OUT-S106-OSL
