developer-agreement-transaction,amount,units,contribution-funding-status,developer-agreement-contribution,organisation,entry-date,start-date,end-date,slug
dat-2012-0084-01-01,709446,,secured,dac-2012-0084-01,local-authority-eng:AMB,2020-11-25,2013-02-20,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2012-0084-01-01
dat-2012-0084-02-01,1125000,,received,dac-2012-0084-02,local-authority-eng:AMB,2020-11-25,2013-02-20,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2012-0084-02-01
dat-2012-0084-03-01,,,secured,dac-2012-0084-03,local-authority-eng:AMB,2020-11-25,2013-02-20,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2012-0084-03-01
dat-2012-0084-04-01,,,secured,dac-2012-0084-04,local-authority-eng:AMB,2020-11-25,2013-02-20,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2012-0084-04-01
dat-2012-0084-05-01,100,,secured,dac-2012-0084-05,local-authority-eng:AMB,2020-11-25,2013-02-20,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2012-0084-05-01
dat-2012-0084-06-01,25984,,received,dac-2012-0084-06,local-authority-eng:AMB,2020-11-25,2019-08-13,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2012-0084-06-01
dat-2012-0084-07-01,,,secured,dac-2012-0084-07,local-authority-eng:AMB,2020-11-25,2013-02-20,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2012-0084-07-01
dat-2012-0965-01-01,100,,secured,dac-2012-0965-01,local-authority-eng:AMB,2020-11-11,,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2012-0965-01-01
dat-2012-0965-02-01,49772.74,,received,dac-2012-0965-02,local-authority-eng:AMB,2020-11-11,2020-01-21,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2012-0965-02-01
dat-2012-0965-03-01,,,secured,dac-2012-0965-03,local-authority-eng:AMB,2020-11-11,,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2012-0965-03-01
dat-2012-1157-01-01,100,,secured,dac-2012-1157-01,local-authority-eng:AMB,2020-11-11,,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2012-1157-01-01
dat-2012-1157-02-01,55077.22,,secured,dac-2012-1157-02,local-authority-eng:AMB,2020-11-11,,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2012-1157-02-01
dat-2012-1157-03-01,43520.4,99,received,dac-2012-1157-03,local-authority-eng:AMB,2020-11-11,2020-01-21,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2012-1157-03-01
dat-2012-1157-04-01,383031.66,,secured,dac-2012-1157-04,local-authority-eng:AMB,2020-11-11,,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2012-1157-04-01
dat-2012-1157-05-01,,7,secured,dac-2012-1157-05,local-authority-eng:AMB,2020-11-11,,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2012-1157-05-01
dat-2014-0553-01-01,,7,secured,dac-2014-0553-01,local-authority-eng:AMB,2020-11-11,,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2014-0553-01-01
dat-2014-0553-02-01,115000,,secured,dac-2014-0553-02,local-authority-eng:AMB,2020-11-11,,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2014-0553-02-01
dat-2014-0553-03-01,55000,,secured,dac-2014-0553-03,local-authority-eng:AMB,2020-11-11,,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2014-0553-03-01
dat-2014-0553-04-01,30000,,secured,dac-2014-0553-04,local-authority-eng:AMB,2020-11-11,,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2014-0553-04-01
dat-2014-0678-01-01,1775.8,,secured,dac-2014-0678-01,local-authority-eng:AMB,2020-11-11,,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2014-0678-01-01
dat-2014-0678-02-01,100,,received,dac-2014-0678-02,local-authority-eng:AMB,2020-11-11,2019-11-15,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2014-0678-02-01
dat-2014-0678-03-01,,,secured,dac-2014-0678-03,local-authority-eng:AMB,2020-11-11,,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2014-0678-03-01
dat-2014-0678-04-01,,,secured,dac-2014-0678-04,local-authority-eng:AMB,2020-11-11,,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2014-0678-04-01
dat-2014-1157-06-01,,,secured,dac-2014-1157-06,local-authority-eng:AMB,2020-11-11,,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2014-1157-06-01
dat-2017-1363-01-01,134497.92,,secured,dac-2017-1363-01,local-authority-eng:AMB,2020-11-01,2020-01-13,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2017-1363-01-01
dat-2017-1363-02-01,19242,17,secured,dac-2017-1363-02,local-authority-eng:AMB,2020-11-01,2020-01-13,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2017-1363-02-01
dat-2017-1363-03-01,27840,,secured,dac-2017-1363-03,local-authority-eng:AMB,2020-11-01,2020-01-13,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2017-1363-03-01
dat-2017-1363-04-01,20000,,secured,dac-2017-1363-04,local-authority-eng:AMB,2020-11-01,2020-01-13,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2017-1363-04-01
dat-2017-1363-05-01,100,,secured,dac-2017-1363-05,local-authority-eng:AMB,2020-11-01,2020-01-13,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2017-1363-05-01
dat-2017-1363-06-01,,,secured,dac-2017-1363-06,local-authority-eng:AMB,2020-11-01,2020-01-13,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2017-1363-06-01
dat-2018-0178-01-01,39068,,secured,dac-2018-0178-01,local-authority-eng:AMB,2020-11-01,2020-02-07,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2018-0178-01-01
dat-2018-0178-02-01,115752.45,,secured,dac-2018-0178-02,local-authority-eng:AMB,2020-11-01,2020-02-07,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2018-0178-02-01
dat-2018-0178-03-01,34647,6,secured,dac-2018-0178-03,local-authority-eng:AMB,2020-11-01,2020-02-07,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2018-0178-03-01
dat-2018-0178-04-01,100,,secured,dac-2018-0178-04,local-authority-eng:AMB,2020-11-01,2020-02-07,,/developer-agreement-transaction/local-authority-eng/AMB/dat-2018-0178-04-01
