developer-agreement-transaction,amount,units,contribution-funding-status,developer-agreement-contribution,organisation,entry-date,start-date,end-date,slug
17/01853/CILADMIN1,1084.55,,received,17/01853/CILADMIN,local-authority-eng:EPS,2019-09-18,2019-12-09,,/developer-agreement-transaction/local-authority-eng/EPS/17-01853-CILADMIN1
17/01853/CILADMIN2,1084.55,,received,17/01853/CILADMIN,local-authority-eng:EPS,2019-09-18,2020-02-27,,/developer-agreement-transaction/local-authority-eng/EPS/17-01853-CILADMIN2
17/01853/CILADMIN3,,,secured,17/01853/CILADMIN,local-authority-eng:EPS,2019-09-18,,,/developer-agreement-transaction/local-authority-eng/EPS/17-01853-CILADMIN3
17/01853/NEIGHBOURHOOD1,3253.67,,received,17/01853/NEIGHBOURHOOD,local-authority-eng:EPS,2019-09-18,2019-12-09,,/developer-agreement-transaction/local-authority-eng/EPS/17-01853-NEIGHBOURHOOD1
17/01853/NEIGHBOURHOOD2,3253.67,,received,17/01853/NEIGHBOURHOOD,local-authority-eng:EPS,2019-09-18,2020-02-27,,/developer-agreement-transaction/local-authority-eng/EPS/17-01853-NEIGHBOURHOOD2
17/01853/NEIGHBOURHOOD3,,,secured,17/01853/NEIGHBOURHOOD,local-authority-eng:EPS,2019-09-18,,,/developer-agreement-transaction/local-authority-eng/EPS/17-01853-NEIGHBOURHOOD3
17/01853/IDP1,17352.9,,received,17/01853/IDP,local-authority-eng:EPS,2019-09-18,2019-12-09,,/developer-agreement-transaction/local-authority-eng/EPS/17-01853-IDP1
17/01853/IDP2,17352.9,,received,17/01853/IDP,local-authority-eng:EPS,2019-09-18,2020-02-27,,/developer-agreement-transaction/local-authority-eng/EPS/17-01853-IDP2
17/01853/IDP3,,,secured,17/01853/IDP,local-authority-eng:EPS,2019-09-18,,,/developer-agreement-transaction/local-authority-eng/EPS/17-01853-IDP3
18/00743/CILADMIN1,2455,,received,18/00743/CILADMIN,local-authority-eng:EPS,2019-09-18,2019-12-13,,/developer-agreement-transaction/local-authority-eng/EPS/18-00743-CILADMIN1
18/00743/CILADMIN2,2455,,received,18/00743/CILADMIN,local-authority-eng:EPS,2019-09-18,2020-03-16,,/developer-agreement-transaction/local-authority-eng/EPS/18-00743-CILADMIN2
