developer-agreement,developer-agreement-type,planning-application,document-url,organisation,entry-date,start-date,end-date,slug
15/01117/OUT,,,,local-authority-eng:BRA,2019-01-12,2015-11-20,,/developer-agreement/local-authority-eng/BRA/15-01117-OUT
15/01117/OUT,,,,local-authority-eng:BRA,2019-01-12,2015-11-20,,/developer-agreement/local-authority-eng/BRA/15-01117-OUT
15/01354/OUT,,,,local-authority-eng:BRA,2019-01-12,2016-06-29,,/developer-agreement/local-authority-eng/BRA/15-01354-OUT
16/01475/FUL,,,,local-authority-eng:BRA,2019-01-12,2017-05-22,,/developer-agreement/local-authority-eng/BRA/16-01475-FUL
16/01475/FUL,,,,local-authority-eng:BRA,2019-01-12,2017-05-22,,/developer-agreement/local-authority-eng/BRA/16-01475-FUL
16/01475/FUL,,,,local-authority-eng:BRA,2019-01-12,2017-05-22,,/developer-agreement/local-authority-eng/BRA/16-01475-FUL
16/02096/OUT,,,,local-authority-eng:BRA,2020-04-03,2017-12-20,,/developer-agreement/local-authority-eng/BRA/16-02096-OUT
15/01366/OUT,,,,local-authority-eng:BRA,2020-04-03,2018-02-19,,/developer-agreement/local-authority-eng/BRA/15-01366-OUT
17/01973/FUL,,,,local-authority-eng:BRA,2019-01-12,2018-06-04,,/developer-agreement/local-authority-eng/BRA/17-01973-FUL
18/00121/OUT,,,,local-authority-eng:BRA,2020-04-03,2019-08-01,,/developer-agreement/local-authority-eng/BRA/18-00121-OUT
18/01749/FUL,,,,local-authority-eng:BRA,2019-01-12,2019-11-06,,/developer-agreement/local-authority-eng/BRA/18-01749-FUL
18/01749/FUL,,,,local-authority-eng:BRA,2019-01-12,2019-11-06,,/developer-agreement/local-authority-eng/BRA/18-01749-FUL
18/01749/FUL,,,,local-authority-eng:BRA,2019-01-12,2019-11-06,,/developer-agreement/local-authority-eng/BRA/18-01749-FUL
18/01749/FUL,,,,local-authority-eng:BRA,2019-01-12,2019-11-06,,/developer-agreement/local-authority-eng/BRA/18-01749-FUL
18/01749/FUL,,,,local-authority-eng:BRA,2019-01-12,2019-11-06,,/developer-agreement/local-authority-eng/BRA/18-01749-FUL
18/01749/FUL,,,,local-authority-eng:BRA,2019-01-12,2019-11-06,,/developer-agreement/local-authority-eng/BRA/18-01749-FUL
15/01366/OUT,,,,local-authority-eng:BRA,2020-04-03,2018-02-19,,/developer-agreement/local-authority-eng/BRA/15-01366-OUT
16/02096/OUT,,,,local-authority-eng:BRA,2020-04-03,2017-12-20,,/developer-agreement/local-authority-eng/BRA/16-02096-OUT
18/00121/OUT,,,,local-authority-eng:BRA,2020-04-03,2019-08-01,,/developer-agreement/local-authority-eng/BRA/18-00121-OUT
12/01071/OUT,,,,local-authority-eng:BRA,2020-04-03,2013-07-26,,/developer-agreement/local-authority-eng/BRA/12-01071-OUT
15/01366/OUT,,,,local-authority-eng:BRA,2020-04-03,2018-02-19,,/developer-agreement/local-authority-eng/BRA/15-01366-OUT
16/02096/OUT,,,,local-authority-eng:BRA,2020-04-03,2017-12-20,,/developer-agreement/local-authority-eng/BRA/16-02096-OUT
17/00973/FUL,,,,local-authority-eng:BRA,2020-04-03,2018-11-13,,/developer-agreement/local-authority-eng/BRA/17-00973-FUL
18/00947/OUT,,,,local-authority-eng:BRA,2020-04-03,2019-01-22,,/developer-agreement/local-authority-eng/BRA/18-00947-OUT
18/00121/OUT,,,,local-authority-eng:BRA,2020-04-03,2019-08-01,,/developer-agreement/local-authority-eng/BRA/18-00121-OUT
16/02096/OUT,,,,local-authority-eng:BRA,2020-04-03,2017-12-20,,/developer-agreement/local-authority-eng/BRA/16-02096-OUT
15/01366/OUT,,,,local-authority-eng:BRA,2020-04-03,2018-02-19,,/developer-agreement/local-authority-eng/BRA/15-01366-OUT
16/02096/OUT,,,,local-authority-eng:BRA,2020-04-03,2017-12-20,,/developer-agreement/local-authority-eng/BRA/16-02096-OUT
18/00121/OUT,,,,local-authority-eng:BRA,2020-04-03,2019-08-01,,/developer-agreement/local-authority-eng/BRA/18-00121-OUT
14/01580/OUT,,,,local-authority-eng:BRA,2020-01-12,2020-02-18,,/developer-agreement/local-authority-eng/BRA/14-01580-OUT
15/01004/OUT,,,,local-authority-eng:BRA,2020-01-12,2019-07-10,,/developer-agreement/local-authority-eng/BRA/15-01004-OUT
16/01475/FUL,,,,local-authority-eng:BRA,2020-01-12,2019-11-18,,/developer-agreement/local-authority-eng/BRA/16-01475-FUL
17/01973/FUL,,,,local-authority-eng:BRA,2020-01-12,2020-10-03,,/developer-agreement/local-authority-eng/BRA/17-01973-FUL
15/01354/OUT,,,,local-authority-eng:BRA,2020-01-12,2020-02-18,,/developer-agreement/local-authority-eng/BRA/15-01354-OUT
16/00397/OUT,,,,local-authority-eng:BRA,2020-01-12,2020-01-31,,/developer-agreement/local-authority-eng/BRA/16-00397-OUT
14/01580/OUT,,,,local-authority-eng:BRA,2020-01-12,2020-03-27,,/developer-agreement/local-authority-eng/BRA/14-01580-OUT
16/02101/VAR,,,,local-authority-eng:BRA,2020-01-12,2019-01-12,,/developer-agreement/local-authority-eng/BRA/16-02101-VAR
15/01498/FUL,,,,local-authority-eng:BRA,2020-01-12,2020-10-02,,/developer-agreement/local-authority-eng/BRA/15-01498-FUL
14/00688/OUT,,,,local-authority-eng:BRA,2020-01-12,2019-12-17,,/developer-agreement/local-authority-eng/BRA/14-00688-OUT
17/01092/FUL,,,,local-authority-eng:BRA,2020-01-12,2019-08-30,,/developer-agreement/local-authority-eng/BRA/17-01092-FUL
