developer-agreement,developer-agreement-type,planning-application,document-url,organisation,entry-date,start-date,end-date,slug
IFS672,,18/01165/VAR,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/applicationDetails.do?activeTab=summary&keyVal=P70IGLBJMXL00,local-authority-eng:ERY,2020-12-31,2019-10-30,,/developer-agreement/local-authority-eng/ERY/IFS672
IFS663,,18/03898/PLF,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/applicationDetails.do?activeTab=summary&keyVal=PIYMD5BJHU900,local-authority-eng:ERY,2020-12-31,2019-10-19,,/developer-agreement/local-authority-eng/ERY/IFS663
IFS671,,19/01679/PLF,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/applicationDetails.do?activeTab=summary&keyVal=PRT5BWBJN4E00,local-authority-eng:ERY,2020-12-31,2019-10-29,,/developer-agreement/local-authority-eng/ERY/IFS671
IFS656,,18/03126/PLF,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/applicationDetails.do?activeTab=summary&keyVal=PFK72DBJKCN00,local-authority-eng:ERY,2020-12-31,2019-10-14,,/developer-agreement/local-authority-eng/ERY/IFS656
IFS697,,19/02695/PLF,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/applicationDetails.do?activeTab=summary&keyVal=PVIHHCBJLNG00,local-authority-eng:ERY,2020-12-31,2019-11-23,,/developer-agreement/local-authority-eng/ERY/IFS697
IFS670,,18/02286/PLF,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/applicationDetails.do?activeTab=summary&keyVal=PBRDI2BJMEV00,local-authority-eng:ERY,2020-12-31,2019-10-28,,/developer-agreement/local-authority-eng/ERY/IFS670
IFS661,,15/00017/STREM,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/applicationDetails.do?activeTab=summary&keyVal=NHG43NBJL1900,local-authority-eng:ERY,2020-12-31,2019-10-23,,/developer-agreement/local-authority-eng/ERY/IFS661
IFS676,,18/04165/STOUT,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/applicationDetails.do?activeTab=summary&keyVal=PK8SAFBJJOU00,local-authority-eng:ERY,2020-12-31,2019-10-31,,/developer-agreement/local-authority-eng/ERY/IFS676
IFS681,,18/02411/PLF,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/applicationDetails.do?activeTab=summary&keyVal=PCDPG8BJFLZ00,local-authority-eng:ERY,2020-12-31,2019-11-08,,/developer-agreement/local-authority-eng/ERY/IFS681
IFS665,,17/01079/STOUT,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/applicationDetails.do?activeTab=summary&keyVal=ONHB7HBJKH600,local-authority-eng:ERY,2020-12-31,2019-10-24,,/developer-agreement/local-authority-eng/ERY/IFS665
IFS699,,19/02909/STPLF,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/applicationDetails.do?activeTab=summary&keyVal=PWJHVZBJFLV00,local-authority-eng:ERY,2020-12-31,2019-11-25,,/developer-agreement/local-authority-eng/ERY/IFS699
IFS698,,19/03207/PLF,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/applicationDetails.do?activeTab=summary&keyVal=PXZ2RUBJHRM00,local-authority-eng:ERY,2020-12-31,2019-11-24,,/developer-agreement/local-authority-eng/ERY/IFS698
IFS655,,18/03343/STREM,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/applicationDetails.do?activeTab=summary&keyVal=PGHA82BJ0R500,local-authority-eng:ERY,2020-12-31,2019-10-13,,/developer-agreement/local-authority-eng/ERY/IFS655
