developer-agreement,developer-agreement-type,planning-application,document-url,organisation,entry-date,start-date,end-date,slug
0146/18/FUL-IFSDA,S106,0146/18/FUL,http://apps.southhams.gov.uk/PlanningSearchMVC/Home/Details/180146,local-authority-eng:SHA,2019-12-20,2019-12-20,2019-12-20,/developer-agreement/local-authority-eng/SHA/0146-18-FUL-IFSDA
0548/20/FUL-IFSDA,S106,0548/20/FUL,http://apps.southhams.gov.uk/PlanningSearchMVC/Home/Details/200548,local-authority-eng:SHA,2020-02-12,2020-02-12,2020-02-12,/developer-agreement/local-authority-eng/SHA/0548-20-FUL-IFSDA
1468/19/FUL-IFSDA,S106,1468/19/FUL,http://apps.southhams.gov.uk/PlanningSearchMVC/Home/Details/191468,local-authority-eng:SHA,2019-11-21,2019-11-21,2019-11-21,/developer-agreement/local-authority-eng/SHA/1468-19-FUL-IFSDA
1554/17/OPA-IFSDA,S106,1554/17/OPA,http://apps.southhams.gov.uk/PlanningSearchMVC/Home/Details/171554,local-authority-eng:SHA,2020-03-11,2020-03-11,2020-03-11,/developer-agreement/local-authority-eng/SHA/1554-17-OPA-IFSDA
1954/18/OPA-IFSDA,S106,1954/18/OPA,http://apps.southhams.gov.uk/PlanningSearchMVC/Home/Details/181954,local-authority-eng:SHA,2019-06-19,2019-06-19,2019-06-19,/developer-agreement/local-authority-eng/SHA/1954-18-OPA-IFSDA
2101/19/FUL-IFSDA,Unilateral Undertaking,2101/19/FUL,http://apps.southhams.gov.uk/PlanningSearchMVC/Home/Details/192101,local-authority-eng:SHA,2020-02-26,2020-02-26,2020-02-26,/developer-agreement/local-authority-eng/SHA/2101-19-FUL-IFSDA
2574/16/OPA-IFSDA,S106,2574/16/OPA,http://apps.southhams.gov.uk/PlanningSearchMVC/Home/Details/162627,local-authority-eng:SHA,2019-05-17,2019-05-17,2019-05-17,/developer-agreement/local-authority-eng/SHA/2574-16-OPA-IFSDA
2873/18/FUL-IFSDA,S106,2873/18/FUL,http://apps.southhams.gov.uk/PlanningSearchMVC/Home/Details/182873,local-authority-eng:SHA,2019-04-01,2019-04-01,2019-04-01,/developer-agreement/local-authority-eng/SHA/2873-18-FUL-IFSDA
3138/17/OPA-IFSDA,S106,3138/17/OPA,http://apps.southhams.gov.uk/PlanningSearchMVC/Home/Details/173138,local-authority-eng:SHA,2019-08-28,2019-08-28,2019-08-28,/developer-agreement/local-authority-eng/SHA/3138-17-OPA-IFSDA
3475/17/OPA-IFSDA,S106,3475/17/OPA,http://apps.southhams.gov.uk/PlanningSearchMVC/Home/Details/173475,local-authority-eng:SHA,2019-05-02,2019-05-02,2019-05-02,/developer-agreement/local-authority-eng/SHA/3475-17-OPA-IFSDA
3552/18/FUL-IFSDA,S106,3552/18/FUL,http://apps.southhams.gov.uk/PlanningSearchMVC/Home/Details/183552,local-authority-eng:SHA,2020-03-16,2020-03-16,2020-03-16,/developer-agreement/local-authority-eng/SHA/3552-18-FUL-IFSDA
3743/18/FUL-IFSDA,S106,3743/18/FUL,http://apps.southhams.gov.uk/PlanningSearchMVC/Home/Details/183743,local-authority-eng:SHA,2019-11-21,2019-11-21,2019-11-21,/developer-agreement/local-authority-eng/SHA/3743-18-FUL-IFSDA
4302/17/OPA-IFSDA,S106,4302/17/OPA,http://apps.southhams.gov.uk/PlanningSearchMVC/Home/Details/174302,local-authority-eng:SHA,2019-12-17,2019-12-17,2019-12-17,/developer-agreement/local-authority-eng/SHA/4302-17-OPA-IFSDA
